pl_hostname,pl_pnum,st_optmag,gaia_gmag,st_teff,st_mass,st_rad
FU Tau,1,,20.48,2838,0.05,
Fomalhaut,1,1.16,,,1.92,
G 9-40,1,13.823,12.733,3348,0.29,0.31
GJ 1214,1,15.1,13.009,3026,0.15,0.22
GJ 1252,1,12.193,11.236,3458,0.38,0.39
GJ 1265,1,13.57,12.081,3236,0.18,0.19
GJ 160.2,1,9.68,9.202,4347,0.69,
GJ 179,1,12,10.706,3370,0.36,0.38
GJ 27.1,1,11.42,10.579,3542,0.53,
GJ 3021,1,6.59,6.394,5540,0.9,0.9
GJ 3082,1,11.077,10.201,,0.47,
GJ 328,1,9.97,9.286,3900,0.69,
GJ 3341,1,12.08,11.103,3526,0.47,0.44
GJ 3470,1,12.33,11.354,3600,0.54,0.55
GJ 3512,1,15.05,13.112,3081,0.12,0.14
GJ 3634,1,11.93,10.923,,0.45,0.43
GJ 3779,1,12.96,11.627,3324,0.27,0.28
GJ 3942,1,10.25,9.408,3867,0.63,0.61
GJ 411,1,7.49,,3563,0.39,0.39
GJ 422,1,11.55,10.477,,0.35,
GJ 4276,1,,11.66,3387,0.41,0.41
GJ 436,1,10.67,9.571,,0.47,0.46
GJ 504,1,5.22,5.001,6234,1.22,
GJ 536,1,9.72,8.859,3685,0.52,0.5
GJ 625,1,10.1,9.137,3499,0.3,0.31
GJ 649,1,9.69,8.819,3700,0.54,
GJ 674,1,9.37,8.331,3600,0.35,
GJ 685,1,9.97,9.167,3816,0.55,0.54
GJ 687,1,9.15,8.028,3340,0.45,0.43
GJ 849,1,10.37,9.224,3241,0.65,0.53
GJ 86,1,6.12,5.874,5182,0.93,0.77
GJ 96,1,9.345,8.632,3785,0.6,
GQ Lup,1,12.43,11.261,,0.7,
GSC 06214-00210,1,12.375,11.863,4200,0.9,
GU Psc,1,13.55,12.966,,0.33,
Gl 378,1,10.19,9.265,3879,0.56,0.56
Gl 49,1,9.56,8.663,3805,0.52,0.51
Gl 686,1,9.577,8.739,3663,0.42,0.42
HAT-P-1,1,10.34,10.179,5980,1.15,1.17
HAT-P-12,1,12.84,12.42,4650,0.73,0.7
HAT-P-14,1,9.98,9.873,6600,2.65,1.82
HAT-P-15,1,12.16,11.723,5568,1,1.07
HAT-P-16,1,10.812,10.757,6158,1.22,1.24
HAT-P-18,1,12.759,12.368,4803,0.77,0.75
HAT-P-19,1,12.901,12.557,4990,0.84,0.82
HAT-P-2,1,8.72,8.598,6380,1.33,1.39
HAT-P-20,1,11.339,10.99,4595,0.76,0.69
HAT-P-21,1,11.685,11.558,5588,1.24,1.21
HAT-P-22,1,9.732,9.519,5302,1.13,1.11
HAT-P-23,1,12.432,12.174,5905,0.58,0.96
HAT-P-24,1,11.818,11.64,6373,1.37,1.38
HAT-P-25,1,13.19,12.842,5519,1.01,0.92
HAT-P-26,1,11.744,11.464,5079,1.12,0.87
HAT-P-27,1,,11.956,5300,0.94,0.9
HAT-P-28,1,13.03,12.872,5680,1.02,1.1
HAT-P-29,1,11.9,11.734,6087,1.45,1.3
HAT-P-3,1,11.577,11.28,5185,1.06,0.87
HAT-P-30,1,10.419,10.3,6304,1.55,1.31
HAT-P-31,1,11.66,11.45,6065,1.31,1.39
HAT-P-32,1,11.289,11.133,6001,1.13,1.37
HAT-P-33,1,11.188,11.024,6446,1.82,1.79
HAT-P-34,1,10.162,10.194,6442,1.39,1.53
HAT-P-35,1,12.46,12.28,6096,1.24,1.44
HAT-P-36,1,12.262,12.093,5620,1.03,1.04
HAT-P-37,1,13.23,13.262,5500,0.93,0.88
HAT-P-38,1,12.557,12.302,5330,0.89,0.92
HAT-P-39,1,12.422,12.227,6430,1.4,1.62
HAT-P-4,1,11.118,11.063,5860,,
HAT-P-40,1,11.699,11.416,6080,1.03,1.94
HAT-P-41,1,11.087,10.939,6390,2.56,2.05
HAT-P-42,1,12.168,12.003,5743,1.18,1.53
HAT-P-43,1,13.356,13.216,5645,1.05,1.1
HAT-P-45,1,,12.398,6330,1.26,1.32
HAT-P-46,1,,11.684,6120,1.28,1.4
HAT-P-49,1,10.326,10.207,6820,2.22,2.06
HAT-P-5,1,12,11.822,5960,1.04,1.12
HAT-P-50,1,11.762,11.672,6280,1.27,1.7
HAT-P-51,1,13.44,13.285,5449,0.98,1.04
HAT-P-52,1,14.068,13.787,5131,0.89,0.89
HAT-P-53,1,13.73,13.514,5956,1.09,1.21
HAT-P-54,1,13.6,13.017,4390,0.65,0.62
HAT-P-55,1,13.207,13.096,5808,1.01,1.01
HAT-P-56,1,10.908,10.824,6566,1.42,1.47
HAT-P-57,1,10.465,10.425,6330,2.77,1.85
HAT-P-6,1,10.44,10.306,6570,1.79,1.62
HAT-P-65,1,13.145,12.995,5835,1.21,1.86
HAT-P-66,1,12.993,12.892,6002,1.25,1.88
HAT-P-67,1,10.069,9.975,6406,1.64,2.55
HAT-P-69,1,,9.773,7394,1.65,1.93
HAT-P-7,1,10.463,10.365,6389,1.56,2
HAT-P-70,1,,9.452,8450,1.89,1.86
HAT-P-8,1,10.3,10.149,6200,1.27,1.57
HAT-P-9,1,12.297,12.154,6350,1.28,1.34
HATS-1,1,12.053,11.936,5870,0.99,1.04
HATS-10,1,13.113,12.984,5880,1.1,1.1
HATS-11,1,14.018,13.833,6563,1.33,1.54
HATS-12,1,12.756,12.677,6357,1.16,1.17
HATS-13,1,13.887,13.68,5523,0.96,0.89
HATS-14,1,13.79,13.771,5346,0.97,0.93
HATS-15,1,14.774,14.647,5311,0.87,0.92
HATS-16,1,13.834,13.686,5738,0.97,1.24
HATS-17,1,12.39,12.218,5846,1.13,1.09
HATS-18,1,14.067,13.879,5600,1.04,1.02
HATS-2,1,13.562,13.342,5227,0.88,0.9
HATS-22,1,13.455,13.122,4803,0.76,0.69
HATS-23,1,13.901,13.752,5780,1.12,1.2
HATS-24,1,12.83,12.691,6125,1.07,1.12
HATS-25,1,13.097,12.935,5715,0.99,1.11
HATS-26,1,12.955,12.843,6071,1.3,2.04
HATS-27,1,12.766,12.679,6438,1.42,1.74
HATS-28,1,13.934,13.793,5498,0.93,0.92
HATS-29,1,12.612,12.459,5670,1.03,1.07
HATS-3,1,12.44,11.891,6351,1.21,1.4
HATS-30,1,12.192,12.081,5943,1.09,1.06
HATS-31,1,13.105,12.961,6050,1.27,1.87
HATS-32,1,14.384,14.217,5700,1.1,1.1
HATS-33,1,11.911,11.708,5659,1.06,1.02
HATS-34,1,13.849,13.679,5380,0.95,0.98
HATS-35,1,12.56,12.46,6300,1.32,1.43
HATS-36,1,14.386,14.233,5950,1.1,1.1
HATS-39,1,12.746,12.58,6572,1.38,1.62
HATS-4,1,13.459,13.286,5403,1,0.93
HATS-40,1,13.377,13.22,6460,1.56,2.26
HATS-41,1,12.681,12.52,6424,1.5,1.71
HATS-42,1,13.617,13.48,6060,1.27,1.48
HATS-43,1,13.593,13.401,5099,0.84,0.81
HATS-44,1,14.428,14.16,5080,0.86,0.85
HATS-45,1,13.307,13.239,6450,1.27,1.31
HATS-46,1,13.634,13.527,5495,0.92,0.85
HATS-47,1,14.829,14.4,4512,0.67,0.66
HATS-48 A,1,14.35,13.895,4546,0.73,0.72
HATS-49,1,14.998,14.545,4405,0.71,0.7
HATS-5,1,12.63,12.429,5304,0.94,0.87
HATS-50,1,14.033,13.894,5990,1.17,1.12
HATS-51,1,12.471,12.329,5758,1.19,1.44
HATS-52,1,13.669,13.627,6010,1.11,1.05
HATS-53,1,13.79,13.656,5644,0.96,1.1
HATS-54,1,13.913,13.776,5702,1.1,1.32
HATS-55,1,13.47,13.35,6214,1.2,1.13
HATS-56,1,11.578,11.488,6536,1.57,2.2
HATS-57,1,12.344,12.182,5587,1.03,0.96
HATS-58 A,1,11.552,11.768,7175,1.46,1.43
HATS-6,1,15.16,14.36,3724,0.57,0.57
HATS-60,1,12.641,12.5,5688,1.1,1.46
HATS-61,1,13.233,13.068,5542,1.08,1.66
HATS-62,1,14.015,13.832,5416,0.9,0.93
HATS-63,1,13.892,13.721,5627,0.93,1.07
HATS-64,1,12.924,12.839,6554,1.56,2.11
HATS-65,1,12.497,12.379,6277,1.26,1.31
HATS-66,1,14.095,14.009,6626,1.41,1.84
HATS-67,1,13.653,13.56,6594,1.44,1.44
HATS-68,1,12.276,12.163,6147,1.35,1.75
HATS-69,1,13.945,13.764,5137,0.89,0.88
HATS-7,1,13.34,13.05,4985,0.85,0.81
HATS-70,1,12.574,12.586,7930,1.78,1.88
HATS-72,1,12.469,12.073,4656.1,0.73,0.72
HATS-8,1,14.03,14.337,5679,1.06,1.09
HATS-9,1,13.276,13.098,5599,1.1,1.56
HD 100546,1,6.704,6.655,10500,2.4,
HD 100655,1,6.45,6.173,4891,2.28,10.06
HD 100777,1,8.418,8.239,5533,0.83,1.04
HD 101930,1,8.21,7.967,5108,0.57,0.86
HD 102117,1,7.47,7.282,5655,1.06,1.23
HD 102195,1,8.062,7.847,5301,0.76,0.82
HD 102272,1,8.69,8.405,4790,1.45,10.3
HD 102365,1,4.91,4.656,5630,0.85,
HD 102843,1,9.268,,5436,0.95,
HD 102956,1,7.86,7.608,4985,1.66,4.55
HD 103197,1,9.391,9.164,5250,0.8,0.88
HD 103720,1,9.49,9.224,5017,0.79,0.73
HD 103774,1,7.121,7.009,6489,1.33,
HD 103949,1,8.69,,4792,0.77,
HD 104067,1,7.93,7.62,4937,0.62,0.74
HD 10442,1,7.84,7.577,4912,1.01,1.97
HD 104985,1,5.8,5.474,4877,2.3,11
HD 106252,1,7.408,7.263,5874,1.01,1.1
HD 106270,1,7.58,7.395,5509,1.39,2.66
HD 10647,1,5.52,5.355,6218,1.11,1.1
HD 106515 A,1,7.972,7.778,5362,0.97,1.62
HD 106906,1,7.797,7.686,6516,1.5,
HD 10697,1,6.27,6.096,5600,1.13,1.79
HD 107148,1,8.015,7.851,5797,1.12,
HD 108147,1,6.995,6.853,6265,1.27,
HD 108341,1,9.36,9.143,5122,0.84,0.79
HD 108863,1,7.71,7.454,4878,1.59,5.74
HD 109246,1,8.77,8.587,5844,1.2,1.07
HD 109749,1,8.08,8.025,5824,1.13,1.22
HD 110014,1,4.66,4.237,4445,2.17,20.9
HD 111232,1,7.59,7.405,5512,0.84,0.9
HD 111591,1,6.427,6.146,4884,1.94,8.03
HD 111998,1,6.11,5.987,6557,1.18,1.45
HD 113337,1,6.008,5.901,6576.6,1.4,1.5
HD 113996,1,4.82,4.145,4181,1.49,25.11
HD 114386,1,8.73,8.418,4836,0.6,0.76
HD 114613,1,4.85,4.604,5641,1.27,2.14
HD 114729,1,6.687,6.514,5844,0.94,1.47
HD 114762,1,7.301,7.14,5869,0.8,1.2
HD 117207,1,7.24,7.077,5732,1.05,1.07
HD 11755,1,6.87,6.46,4312,0.72,20.58
HD 117618,1,7.169,7.022,5990,1.08,
HD 118203,1,8.05,7.893,5864,1.84,2.06
HD 119130,1,9.917,9.756,5725,1,1.09
HD 11977,1,4.69,4.371,4970,1.91,10.09
HD 120084,1,5.899,5.635,4892,2.39,9.12
HD 121504,1,7.517,7.39,6027,1.62,1.07
HD 12484,1,8.17,8.045,5920,1.01,
HD 125390,1,8.206,7.941,4850,1.36,6.47
HD 125595,1,9.03,8.655,4691,0.29,0.74
HD 12648,1,6.98,6.718,4835,0.67,11.02
HD 126525,1,7.847,7.67,5638,0.9,0.98
HD 126614,1,8.788,8.619,5568,1.26,1.32
HD 128356,1,8.29,,4875,0.65,0.85
HD 129445,1,8.8,8.618,,0.99,
HD 130322,1,8.031,7.834,5387,0.92,0.85
HD 131496,1,7.8,7.521,4846,1.34,4.44
HD 131664,1,8.128,7.966,5892,1.19,1.08
HD 13167,1,8.34,8.16,5671,1.35,2.39
HD 13189,1,7.556,7.017,4175,2.24,38.41
HD 132406,1,8.467,8.281,5783,1.03,1.34
HD 132563,1,8.928,8.858,6073,1.08,1.09
HD 133131 B,1,8.42,8.257,5805,0.93,
HD 136418,1,7.879,7.609,4989,1.48,3.78
HD 13724,1,7.89,7.73,5868,1.14,1.07
HD 137388,1,8.696,8.48,5181,0.68,0.88
HD 13931,1,7.597,7.455,5867,1.3,1.25
HD 139357,1,5.964,5.612,4700,1.35,11.47
HD 1397,1,7.781,7.593,5521,1.32,2.34
HD 14067,1,6.53,6.233,4815,2.4,12.4
HD 141937,1,7.25,7.091,5870,1.09,1.03
HD 142022 A,1,7.7,7.514,5421,0.9,1.04
HD 142245,1,7.63,7.189,4922,3.5,4.63
HD 142415,1,7.327,7.178,5940,1.07,1.04
HD 143105,1,6.75,6.626,6380,1.51,
HD 143361,1,9.2,9.016,5507,0.97,0.92
HD 145377,1,8.095,7.97,6014,1.2,1.05
HD 145457,1,6.566,6.279,4769,1.23,10.52
HD 145934,1,8.5,8.241,,1.75,5.38
HD 147379,1,8.896,7.901,4156,0.6,
HD 147513,1,5.39,5.194,5883,1.11,
HD 14787,1,7.63,7.378,4946,1.43,5.01
HD 148156,1,7.689,7.555,6308,1.22,1.21
HD 148284,1,9.01,8.835,5572,1.07,1.48
HD 148427,1,6.895,6.635,5025,1.64,3.86
HD 149026,1,8.15,8.014,6179,1.42,1.41
HD 149143,1,7.89,7.741,5856,1.2,1.44
HD 1502,1,8.36,8.104,4947,1.46,4.67
HD 150706,1,7.02,6.85,5961,1.17,0.96
HD 152079,1,9.182,9.011,5907,1.15,1.13
HD 152581,1,8.38,8.127,5027,1.3,5.14
HD 153950,1,7.39,7.238,6124,1.25,1.28
HD 154345,1,6.76,6.568,5468,0.71,0.85
HD 154672,1,8.21,8.037,5743,1.18,1.32
HD 155233,1,6.818,6.545,4960,1.69,5.03
HD 156411,1,6.673,6.512,5900,1.25,2.16
HD 156668,1,8.42,8.108,4850,0.77,0.72
HD 156846,1,6.506,6.358,6090,1.38,1.9
HD 158038,1,7.64,7.207,4860,1.3,4.5
HD 158996,1,5.706,5.152,4069,1.8,50.3
HD 16141,1,6.83,6.658,5757,1.11,1.48
HD 16175,1,7.282,7.129,5981,1.63,1.72
HD 162020,1,9.1,8.759,4723,0.42,0.75
HD 16417,1,5.78,5.594,,1.2,
HD 164509,1,8.1,7.956,5859,1.12,1.11
HD 164595,1,7.1,6.895,5790,0.99,
HD 164604,1,9.7,9.328,4684,0.77,
HD 165155,1,9.36,9.214,5426,1.02,0.95
HD 1666,1,8.17,8.051,6317,1.5,1.93
HD 166724,1,9.344,9.069,5127,0.81,
HD 167042,1,5.94,5.708,4943,1.5,4.5
HD 168746,1,7.946,7.772,5570,1.07,1.09
HD 1690,1,9.17,8.749,4374,1.86,21.66
HD 170469,1,8.21,8.05,5842,1.1,1.24
HD 17092,1,7.732,7.34,4326,6.73,13.58
HD 171028,1,8.31,8.102,5671,1.53,2.47
HD 171238,1,8.61,8.411,5440,0.96,1.01
HD 17156,1,8.172,8.033,6040,1.41,1.55
HD 173416,1,6.057,5.742,4683,2,13.5
HD 175167,1,8.01,7.824,5635,1.37,1.75
HD 175541,1,8.02,7.759,5013,1.39,4.19
HD 175607,1,8.61,8.41,5392,0.71,0.7
HD 17674,1,7.56,7.401,5904,0.98,1.18
HD 177565,1,6.16,5.965,,1,
HD 178911 B,1,7.792,7.867,5588,1.24,1.08
HD 179079,1,7.95,7.775,5646,1.14,1.63
HD 179949,1,6.25,6.104,6168,1.21,
HD 180053,1,7.93,7.703,5131,1.75,4.06
HD 18015,1,7.89,7.722,5603,1.49,3.13
HD 180314,1,6.608,6.342,4924,2.2,8.13
HD 180617,1,9.12,8.098,3557,0.45,0.45
HD 180902,1,7.78,7.521,4961,1.41,4.16
HD 181234,1,8.59,8.369,5386,1.01,1.05
HD 181342,1,7.55,7.284,4945,1.69,4.71
HD 181720,1,7.849,7.675,5736,1.03,1.5
HD 185269,1,6.67,6.518,5923,1.3,2
HD 187085,1,7.225,7.075,6117,1.19,1.27
HD 18742,1,7.81,7.555,4940,1.36,5.13
HD 188015,1,8.234,8.066,5746,1.09,
HD 189733,1,7.67,7.414,5052,0.79,0.75
HD 190647,1,7.779,7.594,5656,1.07,1.38
HD 190984,1,8.76,8.611,5988,0.91,1.53
HD 191806,1,8.084,7.933,6010,1.14,
HD 192263,1,7.79,7.496,4976,0.66,0.74
HD 192699,1,6.44,6.206,5041,1.38,4.41
HD 195019,1,6.87,6.729,5751,1.21,1.48
HD 196050,1,7.5,7.341,5879,1.31,1.42
HD 196067,1,6.03,6.326,6017,1.29,1.73
HD 196885 A,1,6.398,6.257,6254,1.28,1.31
HD 197037,1,6.809,6.671,6150,1.11,
HD 19994,1,5.06,4.885,6188,1.36,
HD 202206,1,8.08,7.911,5760,1.27,1.03
HD 202772 A,1,,8.227,6272,1.72,2.59
HD 203030,1,8.425,8.247,,,
HD 203473,1,8.23,8.077,5780,1.12,1.33
HD 2039,1,9,8.86,5945,1.23,1.19
HD 204941,1,8.45,8.191,5026,0.58,0.78
HD 205739,1,8.56,8.42,6176,1.22,1.33
HD 206255,1,7.618,,5635,1.42,
HD 206610,1,8.34,8.065,4842,1.55,6.12
HD 20782,1,7.4,7.193,5790,1.07,1.11
HD 208487,1,7.471,7.332,6067,1.13,
HD 208527,1,6.4,5.597,4035,1.6,51.1
HD 20868,1,9.92,9.613,4802,0.39,0.76
HD 208897,1,6.51,6.232,4860,1.25,4.98
HD 209458,1,7.632,7.509,6091,1.23,1.19
HD 210193,1,7.823,,5790,1.04,
HD 210277,1,6.53,6.343,5538,1.01,1.07
HD 210702,1,5.93,5.664,4951,1.61,4.92
HD 211810,1,8.59,8.418,5652,1.03,1.13
HD 211970,1,8.99,,4127,0.61,
HD 212301,1,7.764,7.635,6239,1.55,1.16
HD 212771,1,7.6,7.352,5003,1.56,5.27
HD 213240,1,6.814,6.658,5979,1.57,1.51
HD 21411,1,7.885,,5605,0.89,
HD 214823,1,8.06,7.916,5933,1.31,2.04
HD 216435,1,6.03,5.872,5999,1.3,
HD 216437,1,6.057,5.883,5909,1.17,1.39
HD 216536,1,9.23,8.883,4639,0.81,9.83
HD 216770,1,8.094,7.916,5399,0.74,0.93
HD 217786,1,7.8,7.636,5966,1.02,1.27
HD 217850,1,8.52,8.321,5544,1.03,1.21
HD 218566,1,8.628,8.274,4730,0.76,0.85
HD 219077,1,6.12,5.905,5362,1.05,1.91
HD 219415,1,8.94,8.597,4820,1,2.9
HD 219666,1,,9.65,5527,0.92,1.03
HD 220074,1,6.4,5.609,3787,2.2,54.92
HD 220197,1,9,8.745,5683,0.91,0.98
HD 220689,1,7.795,7.594,5921,1.02,1.07
HD 220773,1,7.093,6.946,5940,1.16,
HD 220842,1,7.99,7.834,5960,1.13,
HD 221287,1,7.807,7.682,6304,1.25,
HD 221416,1,8.146,7.908,5080,1.21,2.94
HD 221420,1,5.81,5.641,5830,1.67,
HD 221585,1,7.465,7.281,5620,1.19,
HD 222076,1,7.459,7.188,4806,1.07,4.1
HD 222155,1,7.114,6.936,5701,1.21,1.85
HD 222582,1,7.68,7.519,5790,1.12,1.13
HD 224538,1,8.06,7.922,6097,1.34,1.54
HD 224693,1,8.23,8.085,5894,1.31,1.93
HD 22781,1,8.766,8.524,5027,0.75,
HD 23079,1,7.12,6.962,5974,1.12,1.07
HD 23127,1,8.576,8.42,5843,1.21,1.49
HD 231701,1,8.97,8.831,6101,1.21,1.53
HD 233604,1,10.406,10.105,4791,1.5,10.9
HD 233832,1,10.146,9.946,4981,0.71,0.68
HD 23596,1,7.244,7.104,6040,1.47,1.53
HD 238914,1,8.79,8.497,4769,1.47,12.73
HD 240210,1,8.33,7.645,4297,0.82,
HD 240237,1,8.19,7.493,3926,8.76,71.23
HD 24040,1,7.493,7.335,5802,1.11,1.3
HD 24064,1,6.75,6.173,4052,1.61,40
HD 24085,1,7.564,,6034,1.22,
HD 25015,1,8.87,8.599,5160,0.86,0.83
HD 25171,1,7.782,7.638,6125,1.08,1.23
HD 2638,1,9.375,9.193,5186,0.77,0.94
HD 2685,1,,9.52,6801,1.43,1.56
HD 26965,1,4.43,4.107,5072,0.78,0.87
HD 27442,1,4.44,4.064,4846,1.23,
HD 27631,1,8.243,8.085,5737,0.94,0.92
HD 28185,1,7.81,7.627,5662,1.02,1.03
HD 28254,1,7.684,7.5,5664,1.06,1.48
HD 285507,1,10.267,10.04,4503,0.82,0.69
HD 285968,1,10.038,9,3679,0.45,0.45
HD 28678,1,8.38,8.055,4972,1.53,6.48
HD 29021,1,7.76,7.586,5560,0.85,0.85
HD 290327,1,8.99,8.804,5505,0.84,0.95
HD 2952,1,5.922,5.628,4844,1.97,10.76
HD 30562,1,5.78,5.6,5882,1.12,1.61
HD 30669,1,9.11,8.907,5400,0.92,0.91
HD 30856,1,7.91,7.658,4895,1.17,4.4
HD 31253,1,7.133,6.985,6130,1.7,1.75
HD 32518,1,6.421,6.113,4580,1.13,10.22
HD 32963,1,7.6,7.428,5727,0.94,
HD 330075,1,9.334,9.092,5000,0.47,0.84
HD 33283,1,8.05,7.899,5935,1.38,1.97
HD 33564,1,5.08,4.928,6250,1.25,
HD 35759,1,7.74,7.596,6060,1.15,
HD 3651,1,5.86,5.635,5221,0.8,
HD 38283,1,6.696,6.544,5981,1.37,1.49
HD 38801,1,8.224,8.034,5338,1.21,2.03
HD 39855,1,7.47,,5576,0.87,
HD 40956,1,6.423,6.134,4869,2,8.56
HD 40979,1,6.735,6.6,6165,1.45,1.21
HD 41004 A,1,8.65,,5010,0.7,
HD 41004 B,1,,,,0.4,
HD 4113,1,7.881,7.711,5688,0.99,
HD 42012,1,8.44,8.229,5405,0.83,0.82
HD 4208,1,7.795,7.611,5717,0.88,0.85
HD 42618,1,6.839,6.683,5727,1.01,1
HD 4308,1,6.56,6.372,5686,0.93,1.02
HD 4313,1,7.83,7.574,4943,1.63,5.14
HD 43197,1,8.98,8.772,5508,0.96,1
HD 43691,1,8.03,7.897,6093,1.32,1.6
HD 44219,1,7.69,7.53,5752,1,1.32
HD 45350,1,7.885,7.7,5616,1.02,
HD 45652,1,8.1,7.912,5294,0.92,0.94
HD 46375,1,7.912,7.695,5285,0.92,
HD 47536,1,5.25,4.832,4424,0.91,22.39
HD 48265,1,8.051,7.879,5733,1.31,1.9
HD 4917,1,8.03,7.749,4802,1.32,5.01
HD 49674,1,8.1,7.918,5602,1.03,1.02
HD 50554,1,6.84,6.698,5987,1.04,1.02
HD 52265,1,6.3,6.147,6136,1.2,
HD 55696,1,7.95,7.811,6012,1.29,1.52
HD 5583,1,7.6,7.308,4830,1.01,9.09
HD 5608,1,5.99,5.712,4877,1.53,5.14
HD 564,1,8.29,8.171,5902,0.96,1.01
HD 5891,1,8.25,7.798,4673,1.93,10.64
HD 59686 A,1,5.442,5.096,4658,1.9,13.2
HD 62509,1,1.14,,4946,2.1,8.31
HD 63454,1,9.37,9.054,4812,0.42,0.77
HD 63765,1,8.1,7.91,5449,0.65,0.83
HD 64114,1,7.718,,5676,0.95,
HD 6434,1,7.71,7.561,5769,1.1,1.12
HD 66141,1,4.38,3.891,4323,1.1,21.4
HD 66428,1,8.246,8.081,5773,1.08,1.1
HD 6718,1,8.45,8.281,5801,1.08,0.95
HD 68402,1,9.11,8.954,5950,1.12,1.02
HD 68988,1,8.2,8.046,5932,1.28,1.19
HD 70573,1,11.424,8.543,5737,1,
HD 70642,1,7.169,6.992,5732,1.08,0.98
HD 7199,1,8.027,7.837,5371,0.77,0.97
HD 72490,1,7.82,7.574,4934,1.21,4.96
HD 72659,1,7.46,7.311,5932,1.43,1.46
HD 72892,1,8.83,8.647,5688,1.02,1.22
HD 73267,1,8.889,8.678,5387,0.9,0.91
HD 73534,1,8.23,7.957,4917,1.16,2.58
HD 7449,1,7.483,7.35,6024,1.05,
HD 75289,1,6.35,6.205,6117,1.29,1.23
HD 75898,1,8.03,7.896,5963,1.26,1.58
HD 76700,1,8.155,7.973,5644,0.99,1.37
HD 76920,1,7.817,7.514,4698,1.17,7.47
HD 77338,1,8.591,8.41,5341,1.37,0.97
HD 79498,1,8.05,7.886,5748,1.08,1.05
HD 80606,1,9.001,8.82,5561,1.15,1.04
HD 80653,1,9.452,9.307,,1.18,1.22
HD 81040,1,7.72,7.555,5755,1.05,0.91
HD 81688,1,5.393,5.089,4753,2.1,13
HD 82886,1,7.78,7.381,4953,2.53,5.26
HD 8326,1,8.76,,4914,0.8,
HD 83443,1,8.222,8.026,5442,0.79,0.94
HD 8535,1,7.7,7.561,6136,1.13,1.19
HD 85390,1,8.526,8.295,5186,0.76,
HD 85512,1,7.67,7.187,4300,0.43,0.71
HD 8574,1,7.112,6.983,6064,1.34,1.38
HD 86081,1,8.73,8.588,5939,1.21,1.46
HD 86226,1,7.932,7.771,5903,1.06,1.02
HD 86264,1,7.407,7.284,6210,1.42,1.88
HD 8673,1,6.31,6.219,6472,1.35,1.39
HD 86950,1,7.459,7.18,4805,1.66,8.8
HD 87646,1,8,7.93,5770,1.12,1.55
HD 87883,1,7.55,7.272,4915,0.66,0.79
HD 88133,1,8.01,7.81,5392,1.26,2.2
HD 89307,1,7.009,6.868,5955,1.27,1.1
HD 89345,1,9.376,9.217,5576,1.16,1.75
HD 89744,1,5.72,5.586,6291,1.86,
HD 90156,1,6.92,6.74,5599,0.84,
HD 9174,1,8.4,8.229,5577,1.03,1.67
HD 92987,1,7.03,6.86,5770,1.08,1.58
HD 93083,1,8.3,8.042,4995,0.7,
HD 94834,1,7.6,7.302,4798,1.11,4.2
HD 95086,1,7.36,7.309,,1.6,
HD 95127,1,8.15,7.721,4218,3.7,41.01
HD 95872,1,9.895,9.653,5312,0.7,0.84
HD 96063,1,8.21,7.97,5020,1.37,4.75
HD 96127,1,7.43,6.882,3943,10.94,51.1
HD 96167,1,8.09,7.928,5733,1.27,1.94
HD 97048,1,8.447,8.339,10000,2.4,2.25
HD 97658,1,7.71,7.514,5175,0.89,0.74
HD 98219,1,8.05,7.791,4925,1.41,4.6
HD 98649,1,8,7.829,5790,1.03,1.01
HD 98736,1,7.93,7.754,5271,0.92,0.93
HD 99109,1,9.1,8.868,5282,0.76,0.98
HD 99492,1,7.58,7.26,4815,0.48,0.83
HIP 105854,1,5.64,5.256,4780,2.1,
HIP 107773,1,5.62,5.333,4945,2.42,11.6
HIP 109384,1,9.63,9.388,5180,0.78,
HIP 109600,1,9.16,9.004,5530,0.87,
HIP 116454,1,10.19,9.932,5089,0.81,0.72
HIP 12961,1,10.24,9.599,3901,0.69,0.65
HIP 35173,1,9.01,,4881,0.79,
HIP 63242,1,6.871,6.565,4830,1.54,
HIP 65426,1,6.982,6.983,8840,1.96,1.77
HIP 65891,1,6.75,6.479,5000,2.5,8.93
HIP 67537,1,6.44,6.165,4985,2.41,8.69
HIP 70849,1,10.36,9.698,4105,0.63,
HIP 71135,1,10.542,,4146,0.66,
HIP 74890,1,7.05,6.752,4850,1.74,5.77
HIP 78530,1,7.192,,10500,2.5,
HIP 79098 AB,1,5.86,5.826,,3.75,
HIP 79431,1,11.34,10.235,3368,0.42,0.54
HIP 8541,1,7.88,7.561,4670,1.17,7.83
HIP 91258,1,8.646,8.45,5519,0.97,0.89
HIP 97233,1,7.34,7.07,5020,1.93,5.34
HN Peg,1,5.95,5.811,5974,1.1,1.04
HR 2562,1,6.11,5.989,,1.3,
HR 5183,1,6.3,6.169,5794,1.07,1.53
HR 810,1,5.41,5.224,6167,1.34,1.13
HW Vir,1,10.692,10.61,,0.48,
IC 4651 9122,1,,10.534,,2.1,
K2-10,1,12.418,12.216,5620,0.92,0.98
K2-100,1,10.651,10.405,6168,1.23,1.22
K2-101,1,12.957,12.662,4819,0.8,0.73
K2-102,1,13.2,12.847,4695,0.77,0.71
K2-104,1,15.149,15.395,3546.46,0.43,0.49
K2-105,1,11.752,11.712,5464,0.99,0.91
K2-107,1,12.92,12.767,6061,1.3,1.81
